HGNC symbol;MODE;median (nearest phylostratum)
MIR181B2;#N/A;12
MIR181C;#N/A;12
MIR181D;#N/A;12
MIR182;#N/A;12
MIR1825;#N/A;19.2
MIR1827;#N/A;19.2
MIR183;#N/A;10
MIR184;12;12
MIR185;#N/A;17
MIR186;#N/A;15.1
MIR187;#N/A;12
MIR188;#N/A;17
MIR190A;#N/A;12
MIR190B;#N/A;12
MIR191;#N/A;14
MIR1912;#N/A;17
MIR1915;#N/A;19.2
MIR193A;#N/A;12
MIR193B;12;12
MIR194-1;#N/A;14
MIR194-2HG;#N/A;12
MIR196A1;#N/A;12
MIR196A2;12;12
MIR196B;#N/A;12
MIR1972-1;#N/A;19.2
MIR1972-2;#N/A;19.2
MIR1976;#N/A;19.2
MIR199A1;#N/A;12
MIR199A2;#N/A;12
MIR199B;#N/A;12
MIR200A;#N/A;11
MIR200B;#N/A;11
MIR200C;#N/A;11
MIR203A;#N/A;12
MIR204;#N/A;12
MIR2052HG;#N/A;19.2
MIR206;#N/A;12
MIR208A;#N/A;15.1
MIR208B;#N/A;12
MIR210;#N/A;12
MIR211;#N/A;12
MIR2113;#N/A;17
MIR2114;#N/A;19.2
MIR2115;#N/A;19.2
MIR212;#N/A;12
MIR215;#N/A;12
MIR216A;#N/A;10
MIR216B;#N/A;10
MIR217;#N/A;10
MIR218-1;#N/A;12
MIR218-2;#N/A;12
MIR219A1;#N/A;10
MIR221;#N/A;12
MIR222;#N/A;12
MIR223;#N/A;12
MIR2276;#N/A;19.2
MIR22HG;#N/A;12
MIR23A;#N/A;12
MIR23B;#N/A;12
MIR23C;#N/A;19.2
MIR2467;#N/A;19.2
MIR25;#N/A;10
MIR2681;#N/A;19.2
MIR26A1;#N/A;12
MIR26A2;#N/A;12
MIR26B;12;12
MIR27A;#N/A;12
MIR27B;#N/A;12
MIR28;#N/A;15.1
MIR298;#N/A;18
MIR299;#N/A;17
MIR300;#N/A;17
MIR301A;#N/A;12
MIR301B;#N/A;12
MIR302A;#N/A;14
MIR302C;#N/A;14
MIR302D;#N/A;14
MIR302E;#N/A;19.2
MIR3064;#N/A;17
MIR3065;#N/A;19.2
MIR3074;#N/A;17
MIR30A;#N/A;12
MIR30B;#N/A;12
MIR30C1;#N/A;12
MIR30C2;#N/A;12
MIR30D;#N/A;12
MIR30E;#N/A;12
